id,ign,teamId,region,nat,realName,age,role,roles,flex,isIgl,overall,potential,form,morale,fatigue,salary,value,contractYears,loyalty,ambition,rounds,stageBonus,agentPool,traits,aim,reaction,awareness,utility,clutch,teamwork,communication,igl,vlrRating,vlrAcs,vlrRounds
P10,trent,T2,Americas,us,Trent Cairns,21,先锋,先锋,false,false,91,98,72,78,8,663000,957000,2,77,73,12395,-0.64,Skye|Sova,定海神针|生存大师|稳定输出,89,82,97,94,97,94,96,80,1.12,196.0,1556.0
P11,valyn,T2,Americas,us,Jacob Batio,22,控场,控场,false,true,90,95,74,76,16,561000,621000,1,57,49,16601,-0.96,,定海神针|串联核心|稳定输出,83,83,92,94,92,93,97,91,1.06,199.0,1556.0
P12,BABYBAY,T2,Americas,us,,20,哨卫,哨卫|决斗者,true,false,78,93,74,67,4,224000,298000,4,77,66,9787,-3.18,Chamber|Vyse|Neon,突破手,79,88,82,76,85,79,84,66,1.03,202.0,1556.0
P13,leaf,T2,Americas,us,Nathan Orf,22,控场,控场,false,false,87,95,66,71,16,475000,523000,3,59,51,12629,-0.33,,核心火力,88,92,84,88,93,85,88,73,1.01,202.0,1556.0
P14,jawgemo,T2,Americas,kh,Alexander Mor,26,决斗者,决斗者,false,false,81,84,62,70,13,288000,196000,1,84,65,13630,0.89,,核心火力|玻璃大炮,83,87,73,71,83,76,76,63,0.95,212.0,1556.0
P15,Verno,T3,Americas,us,Andrew Maust,19,先锋,先锋|控场,true,false,89,99,76,78,4,561000,813000,4,87,76,14327,0.21,Sova|Omen,定海神针|生存大师|残局王|稳定输出,85,77,95,90,94,91,94,78,1.09,199.0,916.0
P16,aspas,T3,Americas,br,Erick Santos,22,决斗者,决斗者,false,false,90,96,57,82,15,610000,683000,2,66,69,10502,-0.21,Neon|Jett,突破手|核心火力|定海神针,93,96,89,70,98,81,88,67,1.06,211.0,916.0
P17,zekken,T3,Americas,us,Zachary Jude Patrone,20,决斗者,决斗者,false,false,89,98,66,86,18,561000,806000,3,43,67,15334,0.29,Phoenix|Neon|Raze,核心火力|玻璃大炮,90,94,83,76,95,85,85,70,1.04,217.0,916.0
P18,Mazino,T3,Americas,cl,Roberto Francisco Rivas Bugueño,24,控场,控场,false,true,83,85,62,70,10,313000,310000,1,57,69,9702,-1.09,,串联核心,78,77,82,90,81,88,90,86,0.95,191.0,916.0
P19,tex,T3,Americas,de,Ian Botsch,26,哨卫,哨卫,false,false,61,66,68,79,16,54000,30000,1,67,21,11777,-0.76,,,62,68,61,61,60,58,66,50,0.86,168.0,916.0
P20,johnqt,T4,Americas,ma,محمد أمين وريد,27,控场,控场|哨卫,true,true,83,84,71,60,20,340000,233000,1,77,62,696,-0.78,Harbor|Cypher|Viper,定海神针|生存大师|苟,74,69,90,87,87,86,93,85,1.1,187.0,696.0
P21,cortezia,T4,Americas,br,Gabriel Araujo Lobo Cortez,21,控场,控场|哨卫,true,false,75,79,73,78,11,175000,203000,3,50,45,767,0.91,Viper|Vyse|Omen,,77,73,74,76,79,68,77,61,1.04,200.0,767.0
P22,Reduxx,T4,Americas,us,Yassin Aboulalazm,18,决斗者,决斗者,false,false,76,88,74,74,16,190000,240000,4,56,29,767,0,,,79,79,73,69,77,73,73,60,1.0,204.0,767.0
P23,JonahP,T4,Americas,ca,Jonah Pulice,25,先锋,先锋,false,false,74,76,66,93,11,161000,125000,2,79,66,577,-1.32,,,67,64,79,84,75,81,82,70,0.92,179.0,577.0
P24,Jerrwin,T4,Americas,in,Gurjiwan Gill,21,决斗者,决斗者,false,false,61,65,68,59,19,54000,53000,3,40,74,534,0,,,63,71,53,56,57,54,56,46,0.85,195.0,534.0
P25,basic,T5,Americas,br,Luiz Henrique Ferlin Tessaro,19,控场,控场|先锋|决斗者,true,false,92,99,69,83,2,720000,1052000,4,75,48,3324,0,Harbor|Kayo|Phoenix,定海神针|稳定输出,91,82,95,95,98,95,96,81,1.26,226.0,330.0
P26,eeiu,T5,Americas,ca,Daniel Vucenovic,24,先锋,先锋,false,false,92,96,66,71,17,720000,811000,2,50,60,11794,3.71,,定海神针|生存大师|稳定输出,84,78,95,89,94,89,93,76,1.04,192.0,803.0
P27,Shyy,T5,Americas,cl,Fabian Usnayo,21,哨卫,哨卫,false,false,84,89,67,64,14,370000,482000,3,68,59,5822,0.49,,稳定输出,80,78,89,78,91,80,85,68,0.99,189.0,330.0
P28,artzin,T5,Americas,br,Arthur Araujo,22,控场,控场,false,true,72,81,75,80,15,136000,127000,3,34,56,6880,0.12,,,69,73,65,80,68,73,77,75,0.97,191.0,1077.0
P29,koalanoob,T5,Americas,ca,GianFranco Potestio,22,决斗者,决斗者,false,false,71,78,67,90,15,125000,113000,4,70,71,15547,-0.95,,突破手|玻璃大炮,74,83,64,62,72,63,67,53,0.91,199.0,1077.0
P30,C0M,T5,Americas,us,Corbin Daniel Lee,25,先锋,先锋,false,false,72,76,57,78,1,136000,105000,1,64,51,12299,1.3,,,59,61,77,79,67,76,79,66,0.84,160.0,722.0
P31,Cryocells,T6,Americas,us,Matthew Dylan Panganiban,23,哨卫,哨卫|控场,true,false,89,96,69,68,4,561000,627000,2,67,77,13904,0,Cypher|Viper,核心火力|定海神针,91,93,90,78,96,83,90,70,1.09,209.0,1149.0
P32,bang,T6,Americas,us,Sean Christian Bezerra,21,控场,控场,false,false,86,93,71,60,0,437000,594000,1,66,39,14455,-3.41,,定海神针|串联核心|稳定输出,83,81,92,94,92,93,92,78,1.08,186.0,1149.0
P33,Asuna,T6,Americas,us,Петро Мазурик,22,决斗者,决斗者,false,false,86,96,76,81,2,437000,485000,3,53,71,13773,0,Phoenix,定海神针|串联核心,84,88,85,83,89,93,86,75,1.07,206.0,1149.0
P34,Timotino,T6,Americas,ca,Timothée Lavigne Dupont,18,决斗者,决斗者,false,false,80,92,69,78,12,265000,351000,4,58,59,13367,0,,突破手|核心火力|玻璃大炮,85,89,68,69,82,70,71,59,0.98,222.0,1149.0
P35,vora,T6,Americas,ca,Jordan Pulwer,21,先锋,先锋,false,true,81,89,71,71,20,265000,342000,3,69,55,9196,0,,定海神针|苟,71,67,87,86,81,86,92,85,0.97,181.0,1149.0
P36,Less,T7,Americas,br,Felipe de Loyola Basso,20,控场,控场,false,false,87,99,76,65,3,475000,684000,4,72,31,7956,0.9,,,89,86,85,87,95,82,87,72,1.12,218.0,630.0
P37,heat,T7,Americas,br,Olavo Marcelo Saabi Batista Lemes,22,哨卫,哨卫|决斗者,true,false,78,85,83,70,7,224000,220000,3,53,83,7185,0.74,Chamber|Raze|Phoenix,,77,84,75,68,83,70,72,59,1.08,204.0,295.0
P38,mwzera,T7,Americas,br,Leonardo da Silva Serrati,24,先锋,先锋,false,false,87,90,72,74,15,475000,499000,2,37,69,8441,0,,稳定输出,83,88,90,87,88,85,89,73,1.03,197.0,630.0
P39,saadhak,T7,Americas,ar,Matias Delipetro,28,控场,控场,false,true,73,74,77,57,16,148000,62000,1,42,82,9436,2.99,,串联核心,62,65,64,82,62,74,76,76,0.95,181.0,630.0
P40,Dantedeu5,T7,Americas,ar,Jesús Federico Larrosa,18,决斗者,决斗者,false,false,56,68,71,66,8,36000,36000,4,76,78,4206,0,,突破手,57,66,48,55,48,54,54,45,0.79,183.0,630.0
P41,lukxo,T8,Americas,br,Lucca Travaioli,18,哨卫,哨卫|控场,true,false,84,96,68,56,7,370000,514000,3,68,55,5729,0,Chamber|Harbor|Viper,核心火力,92,90,79,78,96,74,81,64,1.13,229.0,715.0
P42,tkzin,T8,Americas,br,Enzo Zimiani,17,决斗者,决斗者,false,false,72,83,66,69,5,136000,163000,4,53,48,3928,0,,突破手|爆头机器|玻璃大炮,81,83,60,59,69,59,64,51,0.99,234.0,258.0
P43,Darker,T8,Americas,co,Sebastián Castro Cicuamia,20,控场,控场,false,false,81,93,69,75,19,288000,386000,3,70,50,5907,0,,,77,75,81,87,78,81,81,70,0.97,197.0,715.0
P44,DaviH,T8,Americas,pt,David Cruz,22,先锋,先锋,false,false,80,86,70,76,12,265000,264000,1,55,76,9163,0,,生存大师,68,68,87,87,82,86,87,73,0.97,170.0,258.0
P45,erde,T8,Americas,cl,Roberto Lobos,17,控场,控场,false,true,74,84,69,73,14,161000,195000,4,52,66,4042,0,,,67,66,71,83,72,76,80,78,0.96,183.0,417.0
P46,cauanzin,T8,Americas,br,Cauan Pereira,20,先锋,先锋,false,false,77,86,69,75,14,206000,257000,2,52,34,6239,2.39,,,71,73,74,81,74,74,78,65,0.91,168.0,457.0
P47,Bati,T8,Americas,pt,Miguel Batista,27,自由人,自由人,false,false,55,56,70,72,13,33000,16000,1,89,73,152,0,,,49,50,56,65,49,60,60,52,0.7,140.0,152.0
P48,OXY,T9,Americas,us,Francis Hoang,20,决斗者,决斗者,false,false,89,99,69,65,6,561000,813000,2,65,40,10030,0,Neon|Raze|Jett,突破手|核心火力|玻璃大炮,93,97,82,70,96,78,84,65,1.09,243.0,794.0
P49,FireBallOps,T9,Americas,us,Cameron Tomaselli,24,哨卫,哨卫,false,false,75,79,69,82,3,175000,161000,1,58,62,25559,0,,爆头机器,81,80,73,69,79,66,75,57,1.0,200.0,311.0
P50,v1c,T9,Americas,us,Victor Truong,21,控场,控场,false,false,88,96,69,83,16,516000,726000,3,48,55,14522,0,,定海神针|串联核心,79,78,90,94,89,94,92,79,1.0,183.0,873.0
P51,Jackk,T9,Americas,us,Jack Foote,19,先锋,先锋,false,false,82,92,65,81,7,313000,417000,4,32,47,13786,0,,生存大师|苟,71,66,90,90,84,89,89,76,0.99,166.0,411.0
P52,Zellsis,T9,Americas,us,Jordan Montemurro,27,控场,控场,false,true,72,72,59,79,12,125000,73000,1,30,69,13442,0.06,,,57,64,72,81,64,77,80,77,0.84,161.0,914.0
P53,dgzin,T10,Americas,br,Douglas De Santana Da Silva,25,决斗者,决斗者,false,false,87,91,72,74,19,475000,438000,2,62,95,8472,0,,突破手|核心火力|玻璃大炮,94,95,75,68,94,70,76,60,1.09,232.0,705.0
P54,supamen,T10,Americas,us,Phat Le,28,控场,控场,false,false,74,74,69,77,19,161000,67000,1,38,49,9282,0,,爆头机器,72,67,73,81,74,73,76,64,0.94,179.0,705.0
P55,bao,T10,Americas,vn,Emil Maile,29,哨卫,哨卫,false,false,72,74,74,86,8,136000,57000,1,52,66,9916,0,,,71,68,72,75,72,73,74,62,0.94,185.0,705.0
P56,zerona,T10,Americas,us,Javan Varela,20,决斗者,决斗者,false,false,70,80,69,76,13,115000,133000,4,63,38,15597,0,,,73,72,67,67,65,71,67,58,0.88,198.0,257.0
P57,Paincakes,T10,Americas,us,Jake Hass,23,先锋,先锋,false,true,64,71,70,63,16,70000,58000,3,75,71,18771,0,,,56,60,65,74,55,66,72,70,0.82,160.0,257.0
P58,Demon1,T11,Americas,us,Maximilian Mazanov,23,哨卫,哨卫,false,false,81,89,67,68,0,288000,295000,2,58,68,7377,-0.18,,爆头机器,88,88,77,73,87,73,80,62,1.02,201.0,665.0
P59,Rossy,T11,Americas,us,Daniel Abedrabbo,22,控场,控场,false,true,85,92,70,67,9,402000,429000,3,49,74,11974,0,,稳定输出,79,74,87,90,85,87,91,86,1.01,191.0,801.0
P60,nightz,T11,Americas,us,Christian Smith,17,决斗者,决斗者,false,false,76,88,71,89,2,190000,240000,4,60,64,9664,0,,爆头机器,82,81,67,73,73,74,68,61,0.97,197.0,266.0
P61,GLYPH,T11,Americas,ph,Conner Garcia,22,控场,控场|先锋,true,false,77,84,66,66,18,206000,200000,2,41,52,26191,-0.25,,定海神针|生存大师|串联核心,59,64,84,86,71,85,83,71,0.93,169.0,1173.0
P62,keznit,T11,Americas,cl,Angelo Mori,24,决斗者,决斗者,false,false,87,89,55,64,14,475000,494000,1,74,77,8458,3.53,,突破手|核心火力|玻璃大炮,86,91,77,70,87,76,78,63,0.91,207.0,801.0
P63,P0PPIN,T11,Americas,us,Matteo Weber,21,先锋,先锋,false,false,62,70,73,79,12,59000,61000,3,65,53,5588,0,,,55,60,59,73,53,64,66,56,0.85,179.0,535.0
P64,Eggsterr,T11,Americas,us,Evan Grady,23,决斗者,决斗者,false,false,54,59,66,75,10,30000,22000,1,51,78,4455,0,,,53,60,51,56,47,56,55,46,0.79,178.0,535.0
P65,Sayonara,T12,EMEA,md,Ștefan Mîtcu,17,先锋,先锋|控场,true,false,87,99,71,75,1,475000,684000,4,77,57,3270,-3.15,Sova|Fade|Viper,定海神针|稳定输出,90,90,93,88,97,88,93,76,1.11,213.0,1080.0
P66,Chronicle,T12,EMEA,ru,Тимофей Хромов,23,控场,控场|哨卫,true,false,88,97,67,77,1,516000,581000,3,66,28,13639,0.39,Viper|Chamber|Vyse,,87,86,88,85,93,87,88,73,1.09,213.0,1360.0
P67,Derke,T12,EMEA,fi,Никита Сырмытев,22,决斗者,决斗者,false,false,91,98,68,79,11,663000,759000,3,66,51,12128,3.11,Jett|Neon|Raze,突破手|核心火力|残局王|玻璃大炮,91,96,81,72,95,79,83,66,1.08,234.0,1360.0
P68,PROFEK,T12,EMEA,pl,Dawid Święć,21,控场,控场,false,false,87,91,64,83,19,475000,635000,2,86,60,8711,0.85,,定海神针|生存大师|串联核心,76,78,91,91,88,90,89,76,0.99,178.0,1360.0
P69,Jamppi,T12,EMEA,fi,Elias Olkkonen,24,先锋,先锋,false,true,81,85,73,70,0,265000,261000,1,72,50,10256,-2.55,,,78,81,82,87,82,86,91,85,0.99,198.0,1360.0
P70,RieNs,T13,EMEA,tr,Enes Ecirli,20,先锋,先锋|控场,true,false,93,99,70,76,0,783000,1147000,3,38,77,11113,0.83,Sova|Fade|Viper,爆头机器|定海神针|生存大师|稳定输出,93,85,95,92,95,92,94,78,1.05,208.0,1436.0
P71,Wo0t,T13,EMEA,tr,Mert Alkan,19,哨卫,哨卫|决斗者,true,false,85,92,64,73,18,402000,540000,4,42,74,8365,-1.99,Chamber|Jett|Raze,核心火力|定海神针,89,90,85,75,92,85,85,69,1.03,213.0,1436.0
P72,Boo,T13,EMEA,lt,Ričardas Lukaševičius,28,控场,控场|先锋,true,true,80,80,72,67,19,244000,109000,1,57,60,12833,-1.38,Omen|Astra|Fade,爆头机器|定海神针|串联核心,66,66,85,90,77,89,90,86,1.01,171.0,1436.0
P73,benjyfishy,T13,EMEA,gb,Benjy David Fish,21,哨卫,哨卫,false,false,78,88,67,59,6,224000,285000,4,67,46,8331,-1.82,,爆头机器,81,79,83,75,84,77,82,65,1.0,190.0,1436.0
P74,koshmaras,T13,EMEA,lt,Martynas Namikas,19,决斗者,决斗者,false,false,77,85,69,77,13,206000,255000,2,41,44,4826,-0.43,,突破手|玻璃大炮,78,83,73,70,76,77,76,63,0.96,210.0,1085.0
P75,Alfajer,T14,EMEA,tr,Emir Ali Beder,20,决斗者,决斗者|哨卫,true,false,86,99,73,81,1,437000,628000,4,71,73,11603,0.25,Neon|Chamber|Cypher,核心火力|爆头机器,95,92,83,75,94,75,84,65,1.11,232.0,1236.0
P76,Veqaj,T14,EMEA,fr,Sylvain Jean-Pierre Pattyn,22,控场,控场,false,false,90,97,71,78,10,610000,690000,3,65,77,6647,0,,核心火力|串联核心,92,90,87,93,92,90,89,77,1.09,221.0,635.0
P77,crashies,T14,EMEA,us,Austin Roberts,28,先锋,先锋,false,false,84,85,72,84,10,370000,176000,1,74,51,13173,-0.08,,生存大师|苟,78,72,92,87,90,87,91,74,1.02,184.0,1236.0
P78,kaajak,T14,EMEA,pl,Kajetan Haremski,21,决斗者,决斗者,false,false,88,95,64,94,6,516000,719000,3,41,71,10289,0.72,,突破手|核心火力|玻璃大炮,94,95,77,69,94,72,78,61,0.99,213.0,1236.0
P79,Cloud,T14,EMEA,ru,Кирилл Нехожин,22,先锋,先锋,false,false,85,88,69,63,20,402000,412000,2,48,67,10191,1.95,,,79,80,85,86,84,83,86,71,0.97,185.0,938.0
P80,Boaster,T14,EMEA,gb,Jake Howlett,30,控场,控场,false,true,62,63,64,84,3,59000,22000,2,41,61,13343,-0.91,,串联核心,50,51,62,77,50,70,72,72,0.83,146.0,1236.0
P81,yetujey,T15,EMEA,tr,Eray Budak,20,哨卫,哨卫,false,false,82,93,72,74,5,313000,421000,3,83,67,8840,-0.42,,,83,80,85,79,89,79,83,67,1.02,188.0,1323.0
P82,s0pp,T15,EMEA,tr,Efe Tur,17,决斗者,决斗者,false,false,85,94,73,95,11,402000,550000,4,45,65,4233,0.37,,突破手|核心火力|玻璃大炮,87,92,80,71,88,79,82,65,1.02,222.0,1136.0
P83,sociablEE,T15,EMEA,tr,Volkan Yönal,29,控场,控场,false,true,84,84,67,67,2,340000,160000,1,69,42,12614,-0.24,,突破手,78,85,80,89,84,84,88,84,0.98,189.0,1397.0
P84,xeus,T15,EMEA,tr,Yusuf Doğan Gözgen,21,决斗者,决斗者,false,false,82,86,71,65,10,313000,395000,1,57,72,7496,1.57,,突破手|核心火力|爆头机器,88,89,70,64,82,65,71,56,0.96,207.0,1323.0
P85,KROSTALY,T15,EMEA,tr,Okan Alaçam,19,先锋,先锋,false,false,78,86,67,87,20,224000,280000,2,90,65,7440,0.78,,定海神针|生存大师,66,68,85,84,75,83,85,71,0.94,173.0,1323.0
P86,ara,T16,EMEA,ro,Eduard-George Hanceriuc,20,决斗者,决斗者,false,false,79,89,69,83,1,244000,314000,4,87,55,7536,-0.8,,突破手|玻璃大炮,84,89,71,64,85,66,72,57,0.97,207.0,889.0
P87,westside,T16,EMEA,pl,Miłosz Tomasz Duda,20,哨卫,哨卫,false,false,75,84,69,80,3,175000,212000,3,81,40,6409,0.67,,爆头机器,80,78,71,71,80,65,72,57,0.96,194.0,889.0
P88,Flickless,T16,EMEA,be,Karel Ivo Maeckelbergh,23,控场,控场,false,true,79,85,66,67,15,224000,220000,3,65,55,8296,-1.09,,串联核心,71,73,78,88,75,83,85,83,0.95,184.0,889.0
P89,neT,T16,EMEA,us,Michael Bernet,23,先锋,先锋,false,false,68,75,72,73,16,97000,85000,1,59,35,12869,0,,,65,66,70,73,65,67,74,59,0.94,192.0,349.0
P90,Jesse,T16,EMEA,cz,Adam Čtvrtníček,22,控场,控场,false,false,62,67,69,82,12,59000,47000,2,49,57,13558,0,,串联核心,51,56,61,76,51,67,65,58,0.83,152.0,349.0
P91,lovers rock,T17,EMEA,tr,Umut Pekdoğan,19,决斗者,决斗者,false,false,82,92,73,66,4,313000,417000,2,43,60,5268,-3.21,Yoru|Neon,突破手|核心火力,87,93,82,68,93,74,81,62,1.06,220.0,1007.0
P92,Loita,T17,EMEA,tr,Utku Kart,18,控场,控场,false,false,86,95,67,90,19,437000,605000,4,57,42,6770,0.36,Omen|Astra,爆头机器|串联核心,79,77,85,94,88,90,87,76,1.03,182.0,1007.0
P93,Lar0k,T17,EMEA,tr,Yusuf Kaan Kanber,18,决斗者,决斗者,false,false,83,93,71,92,6,340000,459000,3,67,74,6430,1.54,,,86,82,77,72,86,77,77,64,1.01,211.0,1007.0
P94,Crewen,T17,EMEA,tr,Ali Eren Sargin,21,哨卫,哨卫|控场,true,false,70,73,66,79,13,115000,125000,2,61,48,9721,-1.03,Cypher|Vyse|Viper,爆头机器,78,73,68,70,77,62,68,55,0.96,191.0,1007.0
P95,Rosé,T17,EMEA,tr,Eren Erzan,21,先锋,先锋,false,true,55,60,71,50,19,30000,28000,1,67,34,9346,-2.75,,,52,50,56,70,50,57,65,64,0.83,162.0,1007.0
P96,trexx,T18,EMEA,ru,Никита Чередниченко,21,先锋,先锋|控场,true,false,92,99,78,86,15,720000,1052000,2,41,40,7919,-0.92,Sova|Fade|Astra,定海神针|生存大师|串联核心|稳定输出,88,87,95,96,95,95,94,81,1.13,209.0,231.0
P97,kamo,T18,EMEA,pl,Kamil Frąckowiak,20,决斗者,决斗者,false,false,81,96,74,58,3,288000,397000,4,81,64,7263,-0.96,Phoenix|Raze,突破手|核心火力|爆头机器|玻璃大炮,88,88,75,68,84,74,77,61,1.03,215.0,1200.0
P98,MiniBoo,T18,EMEA,lt,Dominykas Lukaševičius,20,决斗者,决斗者,false,false,82,91,69,93,20,313000,414000,3,51,55,9138,-1.56,,突破手|核心火力|玻璃大炮,89,92,75,68,88,73,77,61,1.03,220.0,969.0
P99,nAts,T18,EMEA,ru,Аяз Ахметшин,23,哨卫,哨卫|控场,true,true,86,91,69,71,18,402000,424000,1,82,72,11777,-0.49,Cypher|Viper,,88,85,86,84,92,81,92,82,1.02,206.0,1166.0
P100,wayne,T18,EMEA,sg,Wayne Chang Wei Jie,18,控场,控场,false,false,82,96,74,86,12,313000,433000,4,44,65,6424,-1.77,,定海神针|串联核心,74,74,88,90,81,90,88,75,0.99,181.0,897.0
P101,purp0,T18,EMEA,ru,Семён Борчев,22,先锋,先锋,false,false,79,87,68,80,14,244000,244000,1,72,54,8491,-1.73,,突破手|爆头机器,79,84,82,78,84,77,87,67,0.98,179.0,1200.0
P102,Kicks,T18,EMEA,ee,Kimmie Laasner,20,控场,控场,false,false,79,88,65,87,2,244000,311000,3,79,67,7931,0.97,,串联核心,65,64,82,88,73,86,83,72,0.92,165.0,303.0
P103,Favian,T19,EMEA,tr,Enes Yiğiter,19,决斗者,决斗者,false,false,83,92,70,90,0,340000,455000,4,64,51,3349,0,Veto|Neon|Phoenix,核心火力,89,85,75,72,88,73,74,62,1.05,220.0,949.0
P104,echo,T19,EMEA,tr,Viviana Navarrete,21,控场,控场|先锋,true,false,75,84,72,62,12,175000,212000,2,71,59,3851,0,,爆头机器,84,82,70,75,80,66,75,59,0.98,204.0,774.0
P105,audaz,T19,EMEA,tr,Soner Ekiz,19,控场,控场,false,false,79,88,71,77,17,244000,311000,2,22,50,5399,0,,爆头机器|生存大师|串联核心|苟,67,64,85,87,75,86,85,72,0.97,171.0,949.0
P106,Izzy,T19,EMEA,tr,Baran Yılmaz,24,决斗者,决斗者|哨卫,true,false,75,75,73,86,9,161000,142000,1,95,67,11786,0,,突破手|玻璃大炮,75,85,69,64,78,64,70,54,0.96,201.0,584.0
P107,Spear,T19,EMEA,tr,Arda Burak Kartal,18,决斗者,决斗者,false,false,65,78,74,83,18,76000,85000,3,65,61,3534,0,,,72,71,57,60,61,57,58,49,0.94,199.0,190.0
P108,nekky,T19,EMEA,tr,Anıl Dağdeviren,21,先锋,先锋,false,true,72,76,74,78,16,125000,140000,1,43,76,6560,0,,,71,64,72,77,71,69,77,73,0.93,185.0,949.0
P109,al0rante,T20,EMEA,de,Felix Brandl,23,控场,控场,false,false,75,83,67,72,12,175000,167000,3,55,98,10486,0,,爆头机器,85,83,71,74,82,63,74,58,0.98,199.0,797.0
P110,waddle,T20,EMEA,gb,Wadir Taraki,24,先锋,先锋,false,false,77,78,71,63,17,206000,189000,1,78,90,11932,0,,,77,70,77,84,77,76,78,67,0.98,195.0,367.0
P111,NINJA,T20,EMEA,pl,Patryk Koczyba,19,先锋,先锋|哨卫,true,false,72,84,72,75,11,125000,150000,3,54,65,5435,0,,,71,72,69,77,77,63,73,58,0.95,183.0,797.0
P112,seven,T20,EMEA,mx,Johann Hernandez,20,决斗者,决斗者,false,false,67,82,67,79,17,90000,105000,4,64,57,17833,0,,,72,73,60,64,62,66,64,55,0.91,197.0,797.0
P113,qpert,T20,EMEA,rs,Mateja Mijović,22,控场,控场,false,true,64,67,68,76,1,64000,51000,2,55,50,7172,0,,,51,48,65,76,50,70,73,72,0.85,156.0,797.0
P114,marteen,T21,EMEA,cz,Martin Pátek,21,决斗者,决斗者,false,false,95,99,81,80,19,925000,1361000,3,81,69,8258,2.43,Phoenix|Raze|Yoru,核心火力|定海神针,96,95,88,78,98,88,88,72,1.23,248.0,1251.0
P115,Minny,T21,EMEA,cz,Patrik Hušek,20,控场,控场,false,false,79,88,64,70,11,244000,311000,4,47,66,9618,-2.21,,,86,84,80,80,88,76,85,67,1.0,197.0,1251.0
P116,starxo,T21,EMEA,pl,Patryk Kopczyński,24,先锋,先锋,false,true,76,80,66,59,10,190000,177000,1,86,88,10744,3.55,,,65,66,73,82,71,74,80,77,0.93,179.0,1251.0
P117,Proxh,T21,EMEA,tr,Yusuf Emre Tunc,22,控场,控场|哨卫,true,false,72,81,74,70,10,125000,116000,4,50,52,5801,0,,串联核心,59,59,75,84,60,78,76,65,0.93,176.0,344.0
P118,bipo,T21,EMEA,it,Taranvir Singh,22,决斗者,决斗者,false,false,54,64,68,70,7,30000,23000,2,73,60,7753,-2.01,,突破手,55,67,52,52,53,51,55,43,0.85,179.0,1164.0
P119,hiro,T22,EMEA,tr,Emirhan Kat,19,哨卫,哨卫|控场,true,false,84,92,74,71,2,370000,496000,4,86,73,6347,-2.61,Cypher|Viper|Chamber,,93,89,85,81,95,80,84,68,1.16,222.0,942.0
P120,Ruxic,T22,EMEA,tr,Uğur Güç,21,控场,控场,false,false,92,99,73,77,6,720000,1052000,3,57,81,8326,0,Omen|Astra|Harbor,核心火力|定海神针,92,87,92,94,97,93,94,79,1.12,216.0,942.0
