id,tag,name,region,league,tier,rating,reputation,budget,facilities,coach,coachTactics,coachDevelopment,coachMotivation,assistants,roster
T19,EF,Eternal Fire,EMEA,VCT EMEA,1,77,77,7262361,77,Afr0nfire,74,77,67,casteLL0,P103|P104|P105|P106|P107|P108
T20,PCF,PCIFIC Esports,EMEA,VCT EMEA,1,71,71,5919718,58,thinkii,69,66,60,ZaeS,P109|P110|P111|P112|P113
T21,M8,Gentle Mates,EMEA,VCT EMEA,1,75,75,2870106,68,KUNDIKUNDI,69,57,76,Mavera,P114|P115|P116|P117|P118
T22,NAVI,Natus Vincere,EMEA,VCT EMEA,1,81,81,5093750,64,ANGE1,68,78,77,Salah|Shiji_mm,P119|P120|P121|P122|P123|P124|P125
T23,KC,Karmine Corp,EMEA,VCT EMEA,1,87,87,4344848,91,ZE1SH,77,82,84,Youenn,P126|P127|P128|P129|P130|P131
T24,PRX,Paper Rex,Pacific,VCT Pacific,1,89,89,6205729,84,alecks,83,85,84,Wendler,P132|P133|P134|P135|P136
T25,T1,T1,Pacific,VCT Pacific,1,85,85,7744846,94,KDG,74,73,76,CheongGak,P137|P138|P139|P140|P141|P142
T26,NS,Nongshim RedForce,Pacific,VCT Pacific,1,85,85,6462781,84,SilKanoN,95,74,81,sungmin|yoman,P143|P144|P145|P146|P147
T27,GEN,Gen.G,Pacific,VCT Pacific,1,78,78,6453858,89,solo,76,74,78,HSK|peri,P148|P149|P150|P151|P152|P153
T28,KRX,KIWOOM DRX,Pacific,VCT Pacific,1,78,78,3769838,83,termi,76,54,57,Argency|glow,P154|P155|P156|P157|P158|P159
T29,ZETA,ZETA DIVISION,Pacific,VCT Pacific,1,72,72,4349685,65,XQQ,55,62,79,ryota-,P160|P161|P162|P163|P164
T30,TS,Team Secret,Pacific,VCT Pacific,1,73,73,4998836,71,Spin,64,56,61,skyeSG,P165|P166|P167|P168|P169
T31,DFM,DetonatioN FocusMe,Pacific,VCT Pacific,1,74,74,5289936,66,Vorz,72,62,67,Melofovia|NorthernLights,P170|P171|P172|P173|P174
T32,RRQ,Rex Regum Qeon,Pacific,VCT Pacific,1,78,78,6197796,71,Jovi,68,64,56,Warbirds,P175|P176|P177|P178|P179|P180
T33,FS,FULL SENSE,Pacific,VCT Pacific,1,77,77,4358207,73,FrosT,79,67,82,THEE|sushiboys,P181|P182|P183|P184|P185|P186|P187
T34,GE,Global Esports,Pacific,VCT Pacific,1,82,82,5122269,86,Platoon,88,85,69,Aimix,P188|P189|P190|P191|P192
T35,VL,VARREL,Pacific,VCT Pacific,1,76,76,6791359,81,TK9_주,67,81,62,Rain,P193|P194|P195|P196|P197|P198
T36,EDG,EDward Gaming,China,VCT China,1,82,82,6360119,89,Autumn,78,76,76,indigo|signed,P199|P200|P201|P202|P203
T37,XLG,Xi Lai Gaming,China,VCT China,1,80,80,7763218,80,hvoya,78,78,69,Steady,P204|P205|P206|P207|P208|P209
T38,TYL,TYLOO,China,VCT China,1,86,86,6764036,92,hypnotizing,87,92,74,Billyo,P210|P211|P212|P213|P214|P215|P216
T39,WOL,Wolves Esports,China,VCT China,1,77,77,3302725,86,alexRr,71,66,75,,P217|P218|P219|P220|P221
T40,FPX,FunPlus Phoenix,China,VCT China,1,77,77,3889939,68,LEGIJA,72,59,62,YorkMonster,P222|P223|P224|P225|P226
T41,NOVA,Nova Esports,China,VCT China,1,79,79,8262468,70,alexRr,78,82,91,OnbusH,P227|P228|P229|P230|P231|P232
T42,BLG,Bilibili Gaming,China,VCT China,1,79,79,4490873,76,Anaks,64,76,69,JeXeN,P233|P234|P235|P236|P237|P238|P239
T43,AG,All Gamers,China,VCT China,1,79,79,6690141,47,ED101,76,82,78,Jason,P240|P241|P242|P243|P244
T44,TE,Trace Esports,China,VCT China,1,79,79,6990646,75,destroyeR,72,64,73,Yiyee,P245|P246|P247|P248|P249|P250|P251
T45,JDG,JD Gaming,China,VCT China,1,74,74,5775537,61,bail,73,66,63,Desire,P252|P253|P254|P255|P256
T46,DRG,Dragon Ranger Gaming,China,VCT China,1,81,81,8447019,83,NaThanD,74,70,76,JKH|LT,P257|P258|P259|P260|P261|P262
T47,TEC,Titan Esports Club,China,VCT China,1,77,77,3707192,79,AfteR,75,70,54,3water,P263|P264|P265|P266|P267|P268
T48,M80,M80,Americas,Challengers Americas,2,76,55,289170,58,kaplan,76,68,60,FIN,P269|P270|P271|P272|P273
T49,SRB,Shopify Rebellion Black,Americas,Challengers Americas,2,73,53,376699,67,effys,64,65,69,oderus,P274|P275|P276|P277|P278
T50,SE,SaD Esports,Americas,Challengers Americas,2,68,49,750788,61,style,58,57,77,,P279|P280|P281|P282|P283
T51,NA,NRG Academy,Americas,Challengers Americas,2,72,52,636357,51,mCe,65,62,66,,P284|P285|P286|P287|P288
T52,QOR,QoR,Americas,Challengers Americas,2,70,50,773220,51,Cody,64,55,58,,P289|P290|P291|P292|P293
T53,NG,Nightblood Gaming,Americas,Challengers Americas,2,70,50,282975,36,,,,,,P294|P295|P296|P297|P298
T54,YFT,YFT,Americas,Challengers Americas,2,72,52,551638,47,,,,,,P299|P300|P301|P302|P303
T55,LM,LA MASIA,Americas,Challengers Americas,2,67,48,511625,62,,,,,,P304|P305|P306|P307|P308
T56,ILEK,Çilekler,EMEA,Challengers EMEA,2,59,42,647439,36,,,,,,P309|P310|P311|P312|P313
T57,CE,CGN Esports,EMEA,Challengers EMEA,2,65,47,442675,60,Kapio,66,49,58,,P314|P315|P316|P317|P318
T58,MAND,Mandatory,EMEA,Challengers EMEA,2,73,53,819421,40,madC,67,72,64,Road,P319|P320|P321|P322|P323
T59,FFE,Fire Flux Esports,EMEA,Challengers EMEA,2,74,53,473820,56,Lêv,76,64,56,XovLoV,P324|P325|P326|P327|P328|P329
T60,BE,Barça eSports,EMEA,Challengers EMEA,2,68,49,876472,45,meisoN,71,57,60,xikii,P330|P331|P332|P333|P334
T61,EP,Eastern Pandas,EMEA,Challengers EMEA,2,68,49,471449,43,,,,,,P335|P336|P337|P338|P339
T62,SGE,Sangal Esports,EMEA,Challengers EMEA,2,77,55,650966,60,,,,,,P340|P341|P342|P343|P344
T63,JL,Joblife,EMEA,Challengers EMEA,2,75,54,476977,52,Larsson,78,65,68,SKAZZ,P345|P346|P347|P348|P349
T64,REJE,REJECT,Pacific,Challengers Pacific,2,76,55,735564,62,Egi,78,74,65,Bullco|shu,P350|P351|P352|P353|P354
T65,QD,QT DIG∞,Pacific,Challengers Pacific,2,63,45,635653,52,Relife,60,61,57,Ryanguru,P355|P356|P357|P358|P359
T66,RO,RIDDLE ORDER,Pacific,Challengers Pacific,2,65,47,305018,42,nokaze37,65,49,54,mun,P360|P361|P362|P363|P364
T67,FENN,FENNEL,Pacific,Challengers Pacific,2,65,47,769354,51,Euler,60,68,58,sieg,P365|P366|P367|P368|P369
T68,IGZI,IGZIST,Pacific,Challengers Pacific,2,63,45,881732,42,gainpe,56,55,54,,P370|P371|P372|P373|P374
T69,AGEL,AGELITE,Pacific,Challengers Pacific,2,60,43,742691,44,,,,,,P375|P376|P377|P378|P379
T70,INSO,Insomnia,Pacific,Challengers Pacific,2,63,45,514193,36,,,,,,P380|P381|P382|P383|P384|P385
T71,KBG,KeepBest Gaming,China,Challengers China,2,64,46,840483,36,Naint,56,56,54,,P386|P387|P388|P389|P390
T72,AT,A Team,China,Challengers China,2,71,51,408227,45,,,,,,P391|P392|P393|P394|P395|P396|P397
T73,AQ,Any Questions Gaming,China,Challengers China,2,66,48,691991,47,Sunshine,55,65,60,AbstinEnce,P398|P399|P400|P401|P402
T74,RA,Rare Atom,China,Challengers China,2,67,48,530107,52,mikiya,56,63,57,,P403|P404|P405|P406|P407|P408
T75,VNLG,Victory No Limits Gaming,China,Challengers China,2,69,50,744090,58,,,,,,P409|P410|P411|P412|P413
T76,WSIG,World Sports Invictus Gaming,China,Challengers China,2,71,51,833598,59,,,,,,P414|P415|P416|P417|P418|P419|P420
T77,WBG,Weibo Gaming,China,Challengers China,2,61,44,280497,35,,,,,,P421|P422|P423|P424|P425
